nformation	Description	Type	Data Required From
Team leader check	Check for team leader involvement	Verification	ASRV
Risk check	Assessment of potential risks	Verification	ASRV
Ops check	Operational checks	Verification	ASRV
Conversion ID	Identifier for conversion	Identifier	ASRV
Client name	Name of the client	Text	ASRV
Conversion Entry Date	Date of conversion entry	Date	ASRV
Cusip From	Starting CUSIP identifier	Identifier	ASRV
Cusip To	Ending CUSIP identifier	Identifier	ASRV
Quantity From	Starting quantity	Numeric	ASRV
Quantity To	Ending quantity	Numeric	ASRV
Client Pre-accept costs	Costs accepted by the client	Numeric	ASRV
Account Number	Identifier for the account	Identifier	ASRV
Conv type	Type of conversion	Text	ASRV
sedol	SEDOL identifier	Identifier	ASRV
cusip	CUSIP identifier	Identifier	ASRV
position	Position of the asset	Text	ASRV
qtyToConvert	Quantity to convert	Numeric	ASRV
adhocCostIndicator	Indicator for adhoc costs	Boolean	ASRV
adhocReason	Reason for adhoc request	Text	ASRV
adhocDeliverToLocalMarket	Delivery indication for local market	Boolean	ASRV
adhocRestrictedToRegistered	Restriction indicator	Boolean	ASRV
documentationRequired	Requirement for documentation	Boolean	ASRV
